,precision,recall,f1-score,support
Improbable,0.65,0.87,0.74,211.0
Probable/Possible,0.6,0.29,0.39,139.0
accuracy,0.64,0.64,0.64,0.64
macro avg,0.62,0.58,0.57,350.0
weighted avg,0.63,0.64,0.6,350.0
