,loss,accuracy,val_loss,val_accuracy,val_f1,val_recall,val_precision,Scenario,epoch
0,0.6761086583137512,0.5958795547485352,0.6790227293968201,0.6477987170219421,0.3931297709923664,0.5,0.3238993710691824,PrPo_Im,1
1,0.5535334944725037,0.7139461040496826,0.6773744225502014,0.6100628972053528,0.40728715728715725,0.4790221914008322,0.41879194630872485,PrPo_Im,2
2,0.41460156440734863,0.8335974812507629,0.6705290079116821,0.6100628972053528,0.5477981651376147,0.5482836338418863,0.5550395256916996,PrPo_Im,3
3,0.2663535177707672,0.9057052135467529,0.6595668196678162,0.6415094137191772,0.5553211324272607,0.5603328710124826,0.5836940836940837,PrPo_Im,4
4,0.142560213804245,0.9714738726615906,0.6482405066490173,0.6100628972053528,0.5877383740381399,0.5930998613037448,0.5874877810361682,PrPo_Im,5
5,0.05157327279448509,0.9944532513618469,0.6199065446853638,0.6415094137191772,0.5772262909922097,0.576629680998613,0.5913600661430343,PrPo_Im,6
6,0.02955208532512188,0.9984152317047119,0.657821536064148,0.6540880799293518,0.44217643681826885,0.5170769764216366,0.627922077922078,PrPo_Im,7
7,0.014293596148490906,1.0,0.7052391767501831,0.6477987170219421,0.43901209677419356,0.5122226074895978,0.576797385620915,PrPo_Im,8
8,0.011225194670259953,0.999207615852356,0.7162651419639587,0.6415094137191772,0.6357461516820063,0.6621879334257974,0.6483037412809132,PrPo_Im,9
9,0.005981575231999159,1.0,0.6818317770957947,0.6603773832321167,0.5922302431610943,0.5911927877947295,0.6143975641583297,PrPo_Im,10
10,0.00404291832819581,1.0,0.7533605694770813,0.6540880799293518,0.6161274746499275,0.6148578363384188,0.6179245283018868,PrPo_Im,11
11,0.0034902391489595175,1.0,0.8151051998138428,0.6918238997459412,0.6609217913565739,0.6602808599167822,0.661625874125874,PrPo_Im,12
12,0.0029357087332755327,1.0,0.8886730074882507,0.6477987170219421,0.5822072072072072,0.5814840499306518,0.5987394957983193,PrPo_Im,13
13,0.002054870128631592,1.0,0.9711437821388245,0.6666666865348816,0.6022185508614586,0.600121359223301,0.6233974358974359,PrPo_Im,14
14,0.0020244757179170847,1.0,1.0602248907089233,0.6729559898376465,0.6120495495495495,0.6090499306518724,0.6321428571428571,PrPo_Im,15
15,0.0017317275051027536,1.0,1.1572095155715942,0.6603773832321167,0.6102941176470588,0.6074895977808599,0.619276644863409,PrPo_Im,16
16,0.001446675742045045,1.0,1.1827006340026855,0.6352201104164124,0.5933862433862434,0.5921463245492372,0.5955248023005032,PrPo_Im,17
