,loss,recall,val_loss,val_recall,val_f1,val_precision,Scenario,epoch
0,0.76512211561203,0.5572815537452698,16.964134216308594,0.49885778580926726,0.3815942248472916,0.4678194044188281,PrPo_Im,1
1,0.6646707057952881,0.5970873832702637,5.426884174346924,0.49885778580926726,0.3815942248472916,0.4678194044188281,PrPo_Im,2
2,0.643273115158081,0.6378640532493591,1.9162733554840088,0.49885778580926726,0.3815942248472916,0.4678194044188281,PrPo_Im,3
3,0.6219125390052795,0.6533980369567871,1.4344569444656372,0.5049950560878311,0.41173645793315405,0.5334398539146314,PrPo_Im,4
4,0.5931667685508728,0.6883494853973389,1.1835180521011353,0.5,0.376114081996435,0.30142857142857143,PrPo_Im,5
5,0.5945248603820801,0.6922330260276794,1.1767024993896484,0.49885778580926726,0.3815942248472916,0.4678194044188281,PrPo_Im,6
6,0.5465195178985596,0.731067955493927,11.698896408081055,0.5,0.376114081996435,0.30142857142857143,PrPo_Im,7
7,0.5097041130065918,0.7611650228500366,1.8643031120300293,0.5177298919158513,0.32882419066871976,0.6529411764705882,PrPo_Im,8
8,0.38741910457611084,0.8213592171669006,7.686150074005127,0.49648811756282174,0.3804220913736174,0.42557803468208094,PrPo_Im,9
9,0.2941260039806366,0.8854368925094604,1.2794324159622192,0.5519110777728529,0.5038897679324895,0.5591836734693878,PrPo_Im,10
10,0.24080102145671844,0.8951456546783447,1.3507453203201294,0.5661972791435098,0.5642210112237901,0.5763138241421328,PrPo_Im,11
