,loss,accuracy,val_loss,val_accuracy,val_f1,val_recall,val_precision,Scenario,epoch
0,0.4786706864833832,0.7847058773040771,0.6324640512466431,0.7764706015586853,0.4569530188704623,0.5103092783505154,0.8877068557919622,Pr_Im,1
1,0.3179040849208832,0.8747059106826782,0.6048662066459656,0.818823516368866,0.6290061104875919,0.6103532813678653,0.8648171238570241,Pr_Im,2
2,0.19827806949615479,0.9370588064193726,0.5101403594017029,0.7764706015586853,0.4569530188704623,0.5103092783505154,0.8877068557919622,Pr_Im,3
3,0.13237842917442322,0.9611764550209045,0.47392570972442627,0.8752940893173218,0.7843445126329596,0.7413251194367614,0.895854815425861,Pr_Im,4
4,0.0813632681965828,0.9770588278770447,0.43627047538757324,0.7764706015586853,0.4569530188704623,0.5103092783505154,0.8877068557919622,Pr_Im,5
5,0.05632760748267174,0.9864705801010132,0.4419683516025543,0.8588235378265381,0.8170941642279221,0.850452602464169,0.7973333333333333,Pr_Im,6
6,0.03698346018791199,0.9923529624938965,0.2728755474090576,0.9011764526367188,0.839847114556417,0.8016563992959518,0.9101495726495727,Pr_Im,7
7,0.03135018050670624,0.994705855846405,0.2477903515100479,0.9176470637321472,0.8790896159317212,0.8667808649735982,0.8934954140814675,Pr_Im,8
8,0.051506638526916504,0.9876470565795898,0.23895560204982758,0.9247058629989624,0.8853520366873483,0.8604632889112396,0.9195690349015877,Pr_Im,9
9,0.04069221764802933,0.9935294389724731,0.27702537178993225,0.9058823585510254,0.8644338118022328,0.859158913754086,0.8700932763311309,Pr_Im,10
10,0.019566282629966736,0.99647057056427,0.3187715411186218,0.8988234996795654,0.8599069368105543,0.8691067387477999,0.8517703091301222,Pr_Im,11
11,0.009046528488397598,0.9994117617607117,0.3654533922672272,0.9200000166893005,0.8727365602761925,0.8356330148353031,0.9347215437225207,Pr_Im,12
12,0.010046740062534809,1.0,0.3162420392036438,0.9270588159561157,0.8893981749649515,0.8656179280864973,0.9214673913043478,Pr_Im,13
13,0.00508796377107501,1.0,0.3007151782512665,0.9152941107749939,0.8741527933144699,0.8579959768669851,0.8941176470588235,Pr_Im,14
14,0.0034934498835355043,1.0,0.3591454029083252,0.9011764526367188,0.8671875,0.8887823736484788,0.8508480825958702,Pr_Im,15
15,0.006139000877737999,1.0,0.3590492904186249,0.9176470637321472,0.8751269717346228,0.852259869248177,0.9060688405797102,Pr_Im,16
16,0.005567977204918861,1.0,0.32035312056541443,0.9129411578178406,0.8750685236237675,0.8709925823485039,0.8793629877225686,Pr_Im,17
17,0.004065397661179304,0.9988235235214233,0.32875552773475647,0.9270588159561157,0.8929079455395245,0.8801389238119185,0.9078264094955489,Pr_Im,18
18,0.574083685874939,0.6925742626190186,0.6691133379936218,0.6277227997779846,0.40026783909440067,0.5078534031413613,0.8127490039840637,PrPo_Im,1
19,0.35334908962249756,0.85792076587677,0.6412208080291748,0.6297029852867126,0.4057888941324524,0.5104712041884817,0.813373253493014,PrPo_Im,2
20,0.2313215732574463,0.9128713011741638,0.6155141592025757,0.7326732873916626,0.6627087198515771,0.6609530796678561,0.7729612034837688,PrPo_Im,3
21,0.12889514863491058,0.9594059586524963,0.5667162537574768,0.7188118696212769,0.6205338244009821,0.6323740287457899,0.8108944235588973,PrPo_Im,4
22,0.08688286691904068,0.9702970385551453,0.6297364234924316,0.603960394859314,0.5984797888242216,0.6722996631873812,0.7098769193273214,PrPo_Im,5
23,0.08295756578445435,0.9762375950813293,0.5449615716934204,0.7148514986038208,0.6130762354743966,0.627138426651549,0.8080808080808081,PrPo_Im,6
24,0.04245786741375923,0.9891089200973511,0.41734281182289124,0.8099009990692139,0.7723943661971833,0.755869209990996,0.8555161708831434,PrPo_Im,7
25,0.023728692904114723,0.9935643672943115,0.36305102705955505,0.8574257493019104,0.8434270359652749,0.8340781005102211,0.8594159222186345,PrPo_Im,8
26,0.010314436629414558,0.9985148310661316,0.3246937692165375,0.8475247621536255,0.8393374347702135,0.842523426818288,0.8367622950819673,PrPo_Im,9
27,0.008037536405026913,0.9995049238204956,0.3321966826915741,0.8792079091072083,0.8697622701656034,0.8649248007469903,0.8760093461155207,PrPo_Im,10
28,0.01985033042728901,0.9955445528030396,0.46800169348716736,0.8376237750053406,0.8270258980785297,0.8263580885050188,0.8277241979773625,PrPo_Im,11
29,0.028597211465239525,0.9891089200973511,0.44593188166618347,0.8514851331710815,0.8409448818897638,0.8385300296795278,0.8437457673032642,PrPo_Im,12
30,0.008499621413648129,0.999009907245636,0.5263403058052063,0.8316831588745117,0.8212508484598631,0.8215810184413246,0.8209281815761449,PrPo_Im,13
31,0.008312322199344635,0.9985148310661316,1.273842453956604,0.7029703259468079,0.7028759256934856,0.7519174975822857,0.7570084714047562,PrPo_Im,14
32,0.009243950247764587,0.9975247383117676,2.0793116092681885,0.7009900808334351,0.5787970680674543,0.6057374862440391,0.826108197058521,PrPo_Im,15
33,0.48225560784339905,0.788118839263916,0.6209427714347839,0.7801980376243591,0.4382647385984427,0.5,0.3900990099009901,Pr_PoIm,1
34,0.3440214991569519,0.8603960275650024,0.5596171617507935,0.7801980376243591,0.4382647385984427,0.5,0.3900990099009901,Pr_PoIm,2
35,0.25065070390701294,0.9138613939285278,0.5087466239929199,0.7861385941505432,0.4660479323308271,0.5135135135135135,0.8924302788844621,Pr_PoIm,3
36,0.16096732020378113,0.9524752497673035,0.4493505656719208,0.8198019862174988,0.6204230645334479,0.6030319659761284,0.8373764600179694,Pr_PoIm,4
