,precision,recall,f1-score,support
Improbable,0.83,1.0,0.91,89.0
Probable,0.0,0.0,0.0,18.0
accuracy,0.83,0.83,0.83,0.83
macro avg,0.42,0.5,0.45,107.0
weighted avg,0.69,0.83,0.76,107.0
