,precision,recall,f1-score,support
Improbable,0.72,0.6,0.65,89.0
Probable/Possible,0.39,0.52,0.45,44.0
accuracy,0.57,0.57,0.57,0.57
macro avg,0.55,0.56,0.55,133.0
weighted avg,0.61,0.57,0.58,133.0
