,precision,recall,f1-score,support
Probable,0.7,0.62,0.66,103.0
Possible,0.57,0.54,0.55,80.0
Improbable,0.89,0.94,0.92,322.0
accuracy,0.81,0.81,0.81,0.81
macro avg,0.72,0.7,0.71,505.0
weighted avg,0.8,0.81,0.81,505.0
