,precision,recall,f1-score,support
Probable,0.87,0.9,0.89,103.0
Improbable,0.97,0.96,0.96,322.0
accuracy,0.94,0.94,0.94,0.94
macro avg,0.92,0.93,0.92,425.0
weighted avg,0.94,0.94,0.94,425.0
