,precision,recall,f1-score,support
Probable,0.71,0.68,0.7,103.0
Possible/Improbable,0.92,0.93,0.92,402.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.82,0.8,0.81,505.0
weighted avg,0.88,0.88,0.88,505.0
