,precision,recall,f1-score,support
Improbable,0.76,0.77,0.76,103.0
Probable/Possible,0.56,0.55,0.56,56.0
accuracy,0.69,0.69,0.69,0.69
macro avg,0.66,0.66,0.66,159.0
weighted avg,0.69,0.69,0.69,159.0
