,precision,recall,f1-score,support
Improbable,0.61,0.84,0.7,134.0
Possible,0.2,0.02,0.03,54.0
Probable,0.13,0.13,0.13,31.0
accuracy,0.53,0.53,0.53,0.53
macro avg,0.31,0.33,0.29,219.0
weighted avg,0.44,0.53,0.46,219.0
