,precision,recall,f1-score,support
Possible/Improbable,0.9,0.97,0.93,177.0
Probable,0.29,0.09,0.14,22.0
accuracy,0.87,0.87,0.87,0.87
macro avg,0.59,0.53,0.54,199.0
weighted avg,0.83,0.87,0.84,199.0
