,precision,recall,f1-score,support
Improbable,0.81,1.0,0.9,134.0
Probable,0.0,0.0,0.0,31.0
accuracy,0.81,0.81,0.81,0.81
macro avg,0.41,0.5,0.45,165.0
weighted avg,0.66,0.81,0.73,165.0
