,precision,recall,f1-score,support
Improbable,0.74,0.7,0.72,135.0
Probable/Possible,0.43,0.48,0.46,64.0
accuracy,0.63,0.63,0.63,0.63
macro avg,0.59,0.59,0.59,199.0
weighted avg,0.64,0.63,0.63,199.0
