,precision,recall,f1-score,support
Possible/Improbable,0.88,1.0,0.94,117.0
Probable,0.0,0.0,0.0,16.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.44,0.5,0.47,133.0
weighted avg,0.77,0.88,0.82,133.0
