,precision,recall,f1-score,support
Probable,0.73,0.65,0.69,104.0
Possible/Improbable,0.91,0.94,0.92,401.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.82,0.8,0.81,505.0
weighted avg,0.88,0.88,0.88,505.0
