,precision,recall,f1-score,support
Improbable,0.73,0.88,0.8,92.0
Probable/Possible,0.5,0.27,0.35,41.0
accuracy,0.69,0.69,0.69,0.69
macro avg,0.61,0.57,0.57,133.0
weighted avg,0.66,0.69,0.66,133.0
