,precision,recall,f1-score,support
Probable/Possible,0.91,0.63,0.75,186.0
Improbable,0.82,0.96,0.88,319.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.86,0.8,0.82,505.0
weighted avg,0.85,0.84,0.83,505.0
