,precision,recall,f1-score,support
Improbable,0.71,0.78,0.74,89.0
Probable/Possible,0.44,0.36,0.4,44.0
accuracy,0.64,0.64,0.64,0.64
macro avg,0.58,0.57,0.57,133.0
weighted avg,0.62,0.64,0.63,133.0
