,precision,recall,f1-score,support
Probable,0.93,0.53,0.67,119.0
Possible/Improbable,0.87,0.99,0.93,386.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.9,0.76,0.8,505.0
weighted avg,0.88,0.88,0.87,505.0
