,precision,recall,f1-score,support
Improbable,0.65,0.72,0.69,618.0
Probable/Possible,0.37,0.29,0.32,336.0
accuracy,0.57,0.57,0.57,0.57
macro avg,0.51,0.51,0.51,954.0
weighted avg,0.55,0.57,0.56,954.0
