,precision,recall,f1-score,support
Improbable,0.73,0.9,0.81,92.0
Possible,0.5,0.16,0.24,25.0
Probable,0.33,0.25,0.29,16.0
accuracy,0.68,0.68,0.68,0.68
macro avg,0.52,0.44,0.45,133.0
weighted avg,0.64,0.68,0.64,133.0
