,precision,recall,f1-score,support
Improbable,0.66,0.83,0.74,211.0
Probable/Possible,0.58,0.35,0.43,139.0
accuracy,0.64,0.64,0.64,0.64
macro avg,0.62,0.59,0.58,350.0
weighted avg,0.63,0.64,0.62,350.0
