,precision,recall,f1-score,support
Improbable,0.69,0.96,0.8,135.0
Possible,0.5,0.1,0.16,42.0
Probable,0.4,0.09,0.15,22.0
accuracy,0.68,0.68,0.68,0.68
macro avg,0.53,0.38,0.37,199.0
weighted avg,0.62,0.68,0.6,199.0
