,precision,recall,f1-score,support
Improbable,0.6,1.0,0.75,211.0
Probable/Possible,0.0,0.0,0.0,139.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.3,0.5,0.38,350.0
weighted avg,0.36,0.6,0.45,350.0
