,precision,recall,f1-score,support
Possible/Improbable,0.84,1.0,0.91,295.0
Probable,0.0,0.0,0.0,55.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.42,0.5,0.46,350.0
weighted avg,0.71,0.84,0.77,350.0
